,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1198,49.118963,55529.0,-122.861795,5584,,,,Eastbound 64 Ave @ 130 St,0,BUS ZN,55
1199,49.333879,54004.0,-123.037969,4045,,,,Southbound Mountain Hwy @ E 27 St,0,BUS ZN,58
1200,49.330105,54005.0,-123.038147,4046,,,,Southbound Mountain Hwy @ Emery Place,0,BUS ZN,57
1201,49.344148,53999.0,-123.038007,4040,,,,Southbound Mountain Hwy @ Doran Rd,0,BUS ZN,57
1202,49.341238,54001.0,-123.038129,4042,,,,Southbound Mountain Hwy @ Frederick Rd,0,BUS ZN,57
1203,49.337763,54002.0,-123.038298,4043,,,,Southbound Mountain Hwy @ Lynn Valley Rd,0,BUS ZN,57
1204,49.323482,54007.0,-123.038465,4048,,,,Southbound Mountain Hwy @ E 17 St,0,BUS ZN,57
1205,49.321387,54008.0,-123.038566,4049,,,,Southbound Mountain Hwy @ E 15 St,0,BUS ZN,57
1206,49.261869,53626.0,-122.840924,3665,,,,Southbound Linton St @ Regan Ave,0,BUS ZN,50
1207,49.256547,53628.0,-122.840817,3667,,,,Northbound Linton St @ Foster Ave,0,BUS ZN,48
1208,49.258674,53627.0,-122.840946,3666,,,,Southbound Linton St @ Walnut Cres,0,BUS ZN,50
1209,49.216327,53622.0,-122.914538,3661,,,,Westbound 6th Ave @ 2nd St,0,BUS ZN,43
1210,49.217458,53621.0,-122.91245,3660,,,,Westbound 6th Ave @ 1st St,0,BUS ZN,79
1211,49.214437,53623.0,-122.918051,3662,,,,Westbound 6th Ave @ 4th St,0,BUS ZN,43
1212,49.26262,53630.0,-122.840736,3669,,,,Northbound Linton St @ Grover Ave,0,BUS ZN,48
1213,49.259387,53629.0,-122.840777,3668,,,,Northbound Linton St @ Rideau Ave,0,BUS ZN,48
1214,49.249175,,-123.11545,99911,,,,King Edward Station,1,ZN 1,0
1215,49.233739,,-123.116295,99910,,,,Oakridge-41st Avenue Station,1,ZN 1,0
1216,49.266596,,-123.115348,99913,,,,Olympic Village Station,1,ZN 1,0
1217,49.262717,,-123.114822,99912,,,,Broadway-City Hall Station,1,ZN 1,0
1218,49.282415,,-123.118227,99915,,,,Vancouver City Centre Station,1,ZN 1,0
1219,49.274492,,-123.122079,99914,,,,Yaletown-Roundhouse Station,1,ZN 1,0
1220,49.26267,,-123.068765,99917,,,,Commercial-Broadway Station,1,ZN 1,0
1221,49.250886,52554.0,-122.923035,2579,,,,Westbound Government Rd @ 8300 Block,0,BUS ZN,46
1222,49.250768,52551.0,-122.922175,2576,,,,Eastbound Government Rd @ 8300 Block,0,BUS ZN,44
1223,49.258913,,-123.045379,99918,,,,Renfrew Station,1,ZN 1,0
1224,49.2508,52549.0,-122.931033,2574,,,,Eastbound Government Rd @ 8000 Block,0,BUS ZN,44
1225,49.250791,52550.0,-122.925688,2575,,,,Eastbound Government Rd @ Lakedale Ave,0,BUS ZN,44
1226,49.250852,52547.0,-122.938264,2572,,,,Eastbound Government Rd @ Jensen Place,0,BUS ZN,44
1227,49.250826,52548.0,-122.934862,2573,,,,Eastbound Government Rd @ Piper Ave,0,BUS ZN,44
1228,49.250869,52546.0,-122.941691,2571,,,,Eastbound Government Rd @ Lozells Ave,0,BUS ZN,44
1229,49.268032,61762.0,-123.149796,12814,,,,Eastbound W 4th Ave @ Maple St,0,BUS ZN,235
1230,49.006584,61482.0,-123.074177,11458,,,,Southbound 54 St @ 2nd Ave,0,BUS ZN,55
1231,49.258921,52538.0,-122.956096,11450,,,,Southbound Bainbridge Ave @ Lougheed Hwy,0,BUS ZN,36
1232,49.258862,52539.0,-122.956938,11451,,,,Westbound Lougheed Hwy @ Bainbridge Ave,0,BUS ZN,9
1233,49.250369,53554.0,-122.835605,3593,,,,Southbound Hillcrest St @ King Albert Ave,0,BUS ZN,36
1234,49.253517,53553.0,-122.835512,3592,,,,Southbound Hillcrest St @ Winslow Ave,0,BUS ZN,36
1235,49.255766,53552.0,-122.835445,3591,,,,Southbound Hillcrest St @ Foster Ave,0,BUS ZN,36
1236,49.255983,53551.0,-122.837511,3590,,,,Eastbound Foster Ave @ Midvale St,0,BUS ZN,36
1237,49.241224,53558.0,-122.834281,3597,,,,Southbound Mundy St @ Monterey Ave,0,BUS ZN,36
1238,49.244092,53557.0,-122.834311,3596,,,,Southbound Mundy St @ Gale Ave,0,BUS ZN,36
1239,49.176992,54986.0,-122.850709,5038,,,,Eastbound 96 Ave @ 134 St,0,BUS ZN,32
1240,49.248046,53555.0,-122.834364,3594,,,,Southbound Mundy St @ Austin Ave,0,BUS ZN,36
