,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
1256,VISCGAL1,1876,Viscount at Galloway Cr FS NB - #1876,,42.95146,-81.268015,,,,,,0,0
1257,VISCGAL2,1877,Viscount South of Galloway Cr SB - #1877,,42.950234,-81.268816,,,,,,0,0
1258,VISCGAL3,1878,Viscount at Galloway Cr NS NB - #1878,,42.949847,-81.269034,,,,,,0,0
1259,VISCGARD,1879,Viscount at Gardenvale WB - #1879,,42.947631,-81.280906,,,,,,0,0
1260,VISCPIVA,1883,Viscount at Pine Valley Dr EB - #1883,,42.947553,-81.280877,,,,,,0,0
1261,VISCSTEE,1884,Viscount at Steeplechase EB - #1884,,42.947528,-81.283968,,,,,,0,0
1262,VISCTAV1,1885,Viscount at Tavistock Rd NB - #1885,,42.953716,-81.268278,,,,,,0,0
1263,VISCTAV2,1886,Viscount at Tavistock Rd 1 SB - #1886,,42.95324,-81.268281,,,,,,0,0
1264,VISCVIGR,1888,Viscount at Village Green WB - #1888,,42.944876,-81.299283,,,,,,0,0
1265,VISCWON1,1889,Saunders Secondary School EB - #1889,,42.946666,-81.291751,,,,,,0,0
1266,VISCWON2,1890,Viscount East of Wonderland WB - #1890,,42.947195,-81.288537,,,,,,0,0
1267,VISCWON3,1891,Viscount East of Wonderland EB - #1891,,42.947173,-81.288021,,,,,,0,0
1268,VISCWON5,1893,Viscount West of Wonderland EB - #1893,,42.946911,-81.289895,,,,,,0,0
1269,WAVECAS1,1896,Wavell at Castle Dr EB - #1896,,42.999161,-81.170685,,,,,,0,0
1270,WAVECAS2,1897,Wavell at Castle Dr WB - #1897,,42.999564,-81.169557,,,,,,0,0
1271,WAVECLA1,1898,Wavell East of Clarke Rd EB - #1898,,42.998854,-81.171841,,,,,,0,0
1272,WAVECLA2,1899,Wavell at Clarke WB - #1899,,42.998523,-81.173288,,,,,,0,0
1273,WAVEDUN2,1903,2040 Wavell SB - #1903,,43.004325,-81.168777,,,,,,0,0
1274,WAVEDUN4,1905,1990 Wavell SB - #1905,,43.002382,-81.167767,,,,,,0,0
1275,WAVEDUN6,1906,Wavell at Dundas SB - #1906,,43.00596,-81.169634,,,,,,0,0
1276,WAVEEDM1,1907,Wavell at Edmonton St EB - #1907,,42.99618,-81.18115,,,,,,0,0
1277,WAVEEDM2,1908,Wavell at Edmonton St WB - #1908,,42.996438,-81.180556,,,,,,0,0
1278,WAVEKIW1,1910,Wavell at Kiwanis Park Dr EB - #1910,,42.993332,-81.189834,,,,,,0,0
1279,WAVEKIW2,1911,Wavell at Kiwanis Park Dr WB - #1911,,42.993712,-81.189514,,,,,,0,0
1280,WAVEMER1,1912,Wavell East of Merlin Cr EB - #1912,,42.997589,-81.176181,,,,,,0,0
1281,WAVEMER2,1913,Wavell at Merlin Cr WB - #1913,,42.99757,-81.176573,,,,,,0,0
1282,WAVESASK,1915,Wavell at Saskatoon St WB - #1915,,42.994743,-81.186617,,,,,,0,0
1283,WAVEVANC,1916,Wavell at Vancouver St. EB - #1916,,42.994928,-81.185574,,,,,,0,0
1284,WAVEWIN2,1918,Wavell at Winnipeg Blvd WB - #1918,,42.99567,-81.183263,,,,,,0,0
1285,WELLALEX,1922,Wellington & Alexandra St NB - #1922,,42.967398,-81.232396,,,,,,0,0
1286,WELLBAS1,1923,Wellington at South of BaselineNB - #1923,,42.961193,-81.230777,,,,,,0,0
1287,WELLBAS2,1924,Wellington at Baseline SB - #1924,,42.961977,-81.231306,,,,,,0,0
1288,WELLBOND,1925,Wellington at Bond  NB - #1925,,42.968858,-81.234644,,,,,,0,0
1289,WELLBRA1,1926,Wellington North of Bradley  NB - #1926,,42.935398,-81.223745,,,,,,0,0
1290,WELLBRA2,1927,Wellington at Bradley  SB - #1927,,42.933922,-81.223468,,,,,,0,0
1291,WELLCHES,1929,Wellington at Chester NB - #1929,,42.96436,-81.231661,,,,,,0,0
1292,WELLCOLG,1930,Wellington at Colgrove Pl SB - #1930,,42.970156,-81.236499,,,,,,0,0
1293,WELLCOM1,1931,Wellington at Commissioners NB - #1931,,42.958872,-81.230199,,,,,,0,0
1294,WELLCOM4,1933,Wellington South of Commissioners SB - #1933,,42.957854,-81.230256,,,,,,0,0
1295,WELLCRES,1934,Wellington at Creston Ave NB - #1934,,42.946286,-81.227132,,,,,,0,0
1296,WELLDEAR,1935,Wellington at Dearness NB - #1935,,42.929847,-81.219712,,,,,,0,0
1297,WELLDUFF,1936,Wellington at  Dufferin St NB - #1936,,42.987394,-81.246459,,,,,,0,0
1298,WELLDUN1,1937,Wellington North of Dundas St NB - #1937,,42.98529,-81.245396,,,,,,0,0
1299,WELLDUN2,1938,Wellington at Dundas SB - #1938,,42.984565,-81.245276,,,,,,0,0
1300,WELLDUN3,1939,Wellington South of Dundas St NB - #1939,,42.984487,-81.244884,,,,,,0,0
1301,WELLEXE1,1940,Wellington at Exeter NB - #1940,,42.926829,-81.217786,,,,,,0,0
