,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,count
201,2328,2328,SB 68 ST NE @ Coral Springs BV,,51.098709,-113.935391,,,0,12
202,2329,2329,SB 68 ST NE @ 43 AV NE,,51.091288,-113.935392,,,0,71
203,2330,2330,SB 68 ST NE @ Laguna WY,,51.084106,-113.935353,,,0,12
204,2331,2331,SB 68 ST NE @ 32 AV NE,,51.080846,-113.935369,,,0,12
205,2332,2332,SB 68 ST NE @ 26 AV NE,,51.075726,-113.93537,,,0,12
206,2333,2333,SB 68 ST NE @ 22 AV NE,,51.072384,-113.93535,,,0,12
207,2334,2334,SB 68 ST NE @ Pinetree CR,,51.069834,-113.935342,,,0,12
208,2335,2335,SB 68 ST NE @ 12 AV NE,,51.062559,-113.935424,,,0,12
209,2336,2336,SB 68 ST NE @ 8 AV NE,,51.059298,-113.935409,,,0,12
210,2337,2337,SB 68 ST NE @ 4 AV NE,,51.055536,-113.935422,,,0,12
211,2338,2338,SB 68 ST NE @ Memorial DR,,51.051888,-113.935438,,,0,12
212,2339,2339,SB 68 ST SE @ Abbercove DR,,51.049886,-113.935407,,,0,12
213,2340,2340,SB 68 ST @ Applewood DR (N. Leg) SE,,51.045367,-113.93537,,,0,12
214,2341,2341,SB 68 ST @ Applewood DR (S. Leg) SE,,51.042275,-113.935314,,,0,51
215,2342,2342,SB 68 ST SE @ 14 AV SE,,51.040092,-113.935317,,,0,12
216,2343,2343,WB 64 AV NE @ 68 ST NE,,51.110793,-113.936125,,,0,13
217,2347,2347,EB 106 AV SE @ Distribution center,,50.96451,-113.942604,,,0,57
218,2348,2348,NB Hidden Valley Dr @ Hidden Valley Ga NW,,51.14753,-114.100441,,,0,79
219,2350,2350,31st Street NW Station (EB),,51.081731,-114.129957,,,0,157
220,2363,2363, NB Belmont ST SW @ Belmont BV SW,,50.871079,-114.06086,,,0,53
221,2366,2366,NB 16 ST NE @ 100 AV NE,,51.143949,-114.019999,,,0,11
222,2367,2367,EB 100 AV NE @ 16 ST NE,,51.143289,-114.019446,,,0,5
223,2368,2368,WB Aero DR @ 19 ST NE,,51.137628,-114.014243,,,0,5
224,2369,2369,NB Aero DR @ Aero WY E leg,,51.133946,-114.0363,,,0,15
225,2370,2370,EB Aero DR @ Aero CR W  leg,,51.136386,-114.034274,,,0,15
226,2371,2371,SB Centre St S @ 4 Ave SW,,51.049496,-114.062855,,,0,38
227,2373,2373,EB Country Village RD @ Harvest Hills BV NE,,51.160255,-114.068717,,,0,40
228,2374,2374,SB 52 St NE @ Country Hills Bv,,51.155071,-113.958594,,,0,79
229,2375,2375,NB 52 St NE @ Country Hills Bv,,51.155135,-113.958193,,,0,79
230,2376,2376,Saddletowne LRT Station SB,,51.12457,-113.948814,,,0,54
231,2377,2377,WB 6 AV SW @ 9 ST SW,,51.048079,-114.083085,,,0,27
232,2378,2378,NB 52 ST NE @ Saddletree DR,,51.130383,-113.958164,,,0,34
233,2379,2379,NB 52 ST NE @ 88 AV NE,,51.133109,-113.958209,,,0,34
234,2380,2380,EB Savanna BV @ Savanna CM NE,,51.134915,-113.955108,,,0,34
235,2381,2381,EB Savanna BV @ Savanna ST NE,,51.135002,-113.952804,,,0,34
236,2382,2382,SB Savanna ST @ Savanna BV NE,,51.134091,-113.952531,,,0,34
237,2383,2383,SB Saddlridge DR @ 88 AV NE,,51.131978,-113.952523,,,0,34
238,2384,2384,NB 14 ST NE @ 115 AV NE,,51.158123,-114.026351,,,0,82
239,2385,2385,NB 14 ST NE @ 120 AV NE,,51.163265,-114.024644,,,0,82
240,2386,2386,EB Stoney Bv @ CT Stoney Garage,,51.165046,-114.02061,,,0,163
241,2387,2387,SB 18 ST NE @ 120 AV NE,,51.164821,-114.01682,,,0,81
242,2388,2388,WB 120 AV NE @ 16 ST NE,,51.161845,-114.023775,,,0,81
243,2389,2389,SB 14 ST NE @ 115 AV NE,,51.157553,-114.027547,,,0,81
244,2397,2397,EB 50 AV SE @ 23 ST SE Near-side,,51.008651,-114.004462,,,0,20
245,2398,2398,EB 50 AV @ 35 ST SE,,51.008654,-113.981245,,,0,20
246,2399,2399,WB 68 AV SE @ 55 ST SE,,50.994362,-113.951858,,,0,20
247,2401,2401,NB Aspen Stone BV @ 17 AV SW,,51.038416,-114.216605,,,0,37
248,2402,2402,EB Aspen Stone BV @ Aspen Stone RD SW,,51.04094,-114.212924,,,0,37
249,2403,2403,NB 89 ST @ 9 AV SW,,51.059919,-114.216592,,,0,37
250,2404,2404,NB 89 ST @ Wentworth TC (N.leg) SW,,51.061868,-114.216591,,,0,37
251,2405,2405,EB 8 AV @ Wentworth SQ SW,,51.063209,-114.215044,,,0,37
252,2406,2406,EB Cityscape DR @ Cityscape PS NE,,51.152241,-113.961721,,,0,70
253,2407,2407,WB Cityscape BV @ Cityscape DR NE,,51.147286,-113.966919,,,0,105
254,2408,2408,NB Cityscape DR @ 104 AV NE,,51.147901,-113.966179,,,0,70
255,2409,2409,NB Cityscape DR@ Cityscape MR NE,,51.150786,-113.966137,,,0,70
256,2410,2410,NB Cityscape GA @ Cityscape DR,,51.152812,-113.958168,,,0,79
257,2411,2411,WB Cityscape DR @ Cityscape HE NE,,51.152438,-113.962781,,,0,79
258,2412,2412,WB 104 AV NE @ Metis TR,,51.147309,-113.971311,,,0,193
259,2413,2413,WB 104 AV NE @ 36 ST NE,,51.147203,-113.97876,,,0,86
260,2414,2414,EB 104 AV NE @ 36 ST NE,,51.146903,-113.980377,,,0,90
261,2415,2415,EB 104 AV NE @ Metis TR,,51.147094,-113.973102,,,0,197
262,2416,2416,WB 72 AV NE @ 10 ST NE,,51.117887,-114.040733,,,0,40
263,2417,2417,EB 72 AV NE @ 8 ST NE,,51.117711,-114.044381,,,0,38
264,2418,2418,WB 130 AV @ 50 ST SE,,50.932104,-113.962962,,,0,48
265,2419,2419,WB Cityscape Dr @ Cityscape Ga NE,,51.152416,-113.958812,,,0,79
266,2420,2420,YYC Airport International Terminal,,51.130855,-114.006525,,,0,38
267,2421,2421,SB Cityscape Dr @ Cityscape Mr NE,,51.150354,-113.966465,,,0,79
268,2423,2423,SB 19 ST SE @ Century RI,,51.048493,-114.008492,,,0,97
269,2424,2424,NB 52 ST SE @ 130 AV SE NB,,50.930623,-113.957774,,,0,68
270,2425,2425,NB Macleod TR @ S. of 61 AV SW,,50.99663,-114.071316,,,0,60
271,2426,2426,EB 61 AV SW @ 3 ST SW,,50.997581,-114.068982,,,0,60
272,2428,2428,WB 194 AV & Chaparral BV SE,,50.878314,-114.020837,,,0,28
273,2429,2429,EB 194 AV SE & Walden BV,,50.877621,-114.023638,,,0,28
274,2430,2430,NB Douglas Glen Term north bay,,50.953432,-113.997087,,,0,68
275,2431,2431,SB Douglas Glen Term north bay,,50.953497,-113.997483,,,0,49
276,2432,2432,NB Douglas Glen Term south bay,,50.953069,-113.997673,,,0,48
277,2433,2433,SB Douglas Glen Term south bay,,50.953123,-113.998126,,,0,67
278,2434,2434,NB 24 ST SE @ 86 AV SE,,50.977416,-113.998719,,,0,135
279,2436,2436,NB Douglas Glen Term south bay,,50.953065,-113.997686,,,0,4
280,2437,2437,SB Douglas Glen Term north bay,,50.953442,-113.997458,,,0,3
281,2438,2438,NB 24 ST SE @ Quarry Park BV,,50.963879,-114.001541,,,0,2
282,2450,2450,SB Seton WY @ Seton DR SE,,50.876023,-113.957746,,,0,34
283,2451,2451,Whitehorn Stn Parking,,51.087019,-113.983003,,,0,61
284,2452,2452,EB Masters RD @ Magnolia TC SE,,50.892188,-113.914401,,,0,67
285,2453,2453,NB Seton WY @ Seton AV SE,,50.872379,-113.956238,,,0,33
286,2454,2454,NB Seton WY SE @ Superstore (S of Seton CR),,50.874443,-113.956951,,,0,33
287,2455,2455,EB Seton DR @ Main ST SE,,50.876724,-113.950622,,,0,75
288,2456,2456,WB Seton DR @ Main ST SE,,50.877006,-113.950714,,,0,77
289,2457,2457,WB Seton DR @ 45 ST SE,,50.87723,-113.946207,,,0,77
290,2458,2458,WB  Front ST SE @ Seton WY,,50.880764,-113.956149,,,0,63
291,2459,2459,NB 45 ST SE @ Seton DR,,50.87775,-113.94553,,,0,75
292,2460,2460,SB Seton WY @ Front ST SE,,50.881077,-113.957401,,,0,42
293,2461,2461,SB Seton WY @ Market ST SE,,50.879208,-113.957025,,,0,42
294,2462,2462,EB Seton DR @ Seton WY SE,,50.876771,-113.955774,,,0,75
295,2463,2463,NB 45 ST SE @ Market ST SE,,50.879885,-113.946491,,,0,75
296,2464,2464,NB 45 ST SE @ Front ST SE,,50.883481,-113.948124,,,0,75
